Match ID,Blue Win,First Blood,First Dragon,First Rift Herald,First Tower,Blue kills,Red kills,Blue assists,Red assists,Blue gold,Red gold,Gold Diff,Blue towers,Red towers,Blue xp,Red xp
4039567530,False,True,NA,False,NA,10,8,11,5,18749,17588,1161,0,0,17810,19058
4035586657,True,True,True,NA,NA,6,10,12,18,17128,18005,-877,0,0,17412,17259
4035593731,False,False,True,False,NA,5,12,6,16,16373,20206,-3833,0,0,17133,18916
4034971122,False,False,False,True,NA,2,5,3,4,14899,17232,-2333,0,0,17187,18196
4034580078,False,True,True,False,NA,7,6,8,8,17496,16655,841,0,0,18259,17152
4038548483,False,False,False,False,NA,5,14,3,15,15582,20827,-5245,0,0,16473,19307
4038328106,False,True,True,NA,NA,13,7,15,5,19396,16302,3094,0,0,19211,17407
4038355650,True,False,NA,NA,NA,8,6,10,5,17182,16524,658,0,0,19060,17624
4038383190,True,True,True,False,NA,8,5,13,6,18282,16314,1968,0,0,18769,17921
4037607322,True,True,NA,NA,NA,7,9,9,8,17685,18320,-635,0,0,18576,18850
4037614568,False,False,NA,NA,NA,8,9,13,15,17547,18893,-1346,0,0,17113,17255
4037552540,False,True,False,False,NA,4,4,5,5,14728,16165,-1437,0,0,17029,18782
4037610034,False,True,False,True,NA,11,10,14,11,19416,18465,951,0,0,18554,18541
4036474543,False,False,True,True,NA,7,10,8,15,17394,19121,-1727,0,0,16636,18337
4036451356,True,True,NA,NA,NA,3,8,6,8,14396,16729,-2333,0,0,15788,16749
4036398197,True,False,NA,NA,NA,7,9,13,6,16617,16028,589,0,0,16319,17591
4036375114,False,True,True,True,NA,11,5,11,6,18797,15857,2940,0,0,19197,16803
4036299849,False,True,True,False,NA,5,2,8,3,17270,15427,1843,0,0,18171,17400
4036246304,False,False,True,NA,NA,10,10,14,10,17314,18699,-1385,0,0,18375,18997
4036291845,True,True,NA,NA,NA,5,7,3,7,17390,17958,-568,0,0,19773,19482
4035895971,False,False,NA,False,NA,4,5,6,9,15786,16514,-728,0,0,17957,17433
4035939927,False,False,False,True,Red,2,13,4,15,15221,20628,-5407,0,1,16815,18678
4035844948,False,True,False,True,NA,8,10,7,8,18192,18311,-119,0,0,17329,18229
4035769312,True,False,False,False,NA,5,8,5,6,16470,17393,-923,0,0,18566,19206
4035508161,False,True,NA,NA,NA,7,9,5,10,17351,17903,-552,0,0,18259,18900
4035514865,False,False,True,True,NA,7,6,6,5,17102,15684,1418,0,0,18095,17514
4034975115,True,True,False,False,NA,6,6,8,4,16613,17153,-540,0,0,17250,19381
4034917754,False,False,False,NA,NA,3,5,3,8,16241,16098,143,0,0,17250,17641
4034941740,True,True,NA,NA,NA,12,6,15,5,19171,16956,2215,0,0,18475,17415
4034667173,False,True,True,True,NA,7,7,5,6,17973,17063,910,0,0,19218,19191
4034702072,True,True,True,NA,NA,7,3,8,3,18168,15201,2967,0,0,19699,17121
4046100525,False,True,False,NA,NA,7,10,7,12,17356,17971,-615,0,0,17416,17854
4046085945,False,False,True,False,NA,4,13,6,12,15359,19473,-4114,0,0,15123,19101
4046033579,False,False,False,NA,NA,5,14,8,19,14207,19474,-5267,0,0,13863,16567
4041516677,True,True,NA,NA,NA,4,3,4,4,16454,15175,1279,0,0,18762,17566
4041473404,False,False,False,NA,Red,6,16,8,17,16221,21705,-5484,0,1,16169,18695
4040710300,False,True,NA,NA,NA,9,8,14,13,17510,16415,1095,0,0,17038,16359
4040692673,False,True,NA,NA,NA,7,10,8,14,16894,18903,-2009,0,0,18360,18530
4038743564,False,True,NA,True,NA,7,6,9,8,17918,16730,1188,0,0,18878,18924
4038718002,True,True,True,False,Blue,2,5,4,7,17663,15634,2029,1,0,17578,16355
4037637967,True,False,True,NA,NA,5,3,4,1,16576,15448,1128,0,0,18351,18334
4037591985,False,False,NA,NA,NA,6,6,7,11,16612,16891,-279,0,0,17965,17730
4037570487,False,True,False,NA,NA,3,8,2,14,15203,16932,-1729,0,0,16954,17329
4035906437,True,False,True,NA,NA,9,5,11,3,16637,16903,-266,0,0,16751,17376
4035877926,True,True,False,NA,NA,5,2,10,1,15870,14384,1486,0,0,18070,16984
4035853369,True,False,NA,True,NA,11,9,13,14,17568,17523,45,0,0,16298,15959
4035789635,True,True,NA,False,NA,1,0,2,0,15344,14273,1071,0,0,17761,17976
4035754057,False,True,False,NA,NA,5,4,5,2,15514,15710,-196,0,0,18665,18599
4035712709,False,False,False,NA,NA,3,7,2,8,15686,17485,-1799,0,0,17959,19889
4035608669,False,True,False,NA,NA,4,8,4,5,15598,17281,-1683,0,0,17090,18520
4035611284,False,False,False,NA,NA,2,8,4,10,15380,17644,-2264,0,0,17338,18304
4035236243,True,False,True,True,NA,3,7,3,8,15528,17917,-2389,0,0,18230,18862
4034534139,True,True,NA,NA,NA,8,12,13,11,16805,18503,-1698,0,0,16743,18099
4032770908,False,True,NA,True,NA,6,8,5,12,16381,17545,-1164,0,0,17339,18374
4032697616,False,False,NA,NA,NA,5,9,9,12,15876,17996,-2120,0,0,17552,17741
4032690516,False,False,NA,NA,NA,4,4,7,7,16558,15519,1039,0,0,18836,17273
4032595899,False,True,NA,NA,NA,8,7,12,11,17247,17560,-313,0,0,18311,17968
4043268728,True,True,False,NA,NA,11,8,10,8,18894,17321,1573,0,0,20070,18587
4043275042,False,False,False,NA,NA,7,5,9,3,15770,16419,-649,0,0,16339,17732
4043261642,False,False,False,True,NA,3,7,1,8,15810,17605,-1795,0,0,19013,19521
4043159508,True,False,False,True,NA,5,4,4,3,16364,15517,847,0,0,19016,17684
4043741227,True,False,NA,NA,NA,6,4,4,5,16334,15951,383,0,0,18261,17732
4043645880,False,False,NA,NA,NA,12,10,13,9,18134,18974,-840,0,0,17932,18073
4043637646,True,False,NA,NA,NA,7,8,5,6,17045,17266,-221,0,0,17628,18278
4043476942,False,False,NA,False,NA,6,10,8,8,15943,18928,-2985,0,0,17906,20588
4042624935,False,False,NA,False,NA,6,9,7,6,16186,18734,-2548,0,0,17862,19814
4042612372,False,False,False,False,NA,4,12,4,10,16189,19633,-3444,0,0,17229,19213
4041888519,False,True,True,NA,NA,13,10,16,12,19881,18923,958,0,0,19514,18052
4041101010,False,False,True,NA,NA,6,8,8,6,16487,17630,-1143,0,0,16531,18043
4041027011,True,True,True,True,NA,6,4,5,6,16968,16277,691,0,0,18276,18224
4040993692,False,False,True,NA,NA,8,9,10,13,17992,17872,120,0,0,19079,18865
4040968591,True,True,True,NA,Blue,11,12,15,12,19061,20851,-1790,1,0,16814,17260
4040943270,True,True,NA,NA,NA,6,4,3,4,16552,15780,772,0,0,17493,17328
4040878026,True,True,True,False,NA,11,7,11,10,18894,17711,1183,0,0,18258,17978
4040843549,False,True,True,NA,NA,4,4,6,3,16448,15577,871,0,0,18251,18142
4040097451,False,True,True,False,NA,7,8,10,12,16567,17265,-698,0,0,16701,16016
4040132145,True,False,NA,NA,NA,1,7,0,7,14655,17378,-2723,0,0,17532,19217
4040026050,True,True,True,True,NA,5,4,4,5,17051,15508,1543,0,0,18683,18132
4039959451,True,True,True,NA,NA,11,6,14,4,18693,16743,1950,0,0,18323,17629
4039982285,False,False,NA,NA,NA,13,5,10,3,19435,16679,2756,0,0,20128,18512
4041059380,True,True,False,True,Blue,13,7,8,9,19339,17475,1864,1,0,19021,17569
4041057584,True,False,True,True,Blue,12,5,13,5,20533,15307,5226,1,0,20251,16666
4041094281,True,False,False,NA,NA,13,6,17,5,18875,16251,2624,0,0,17584,17295
4040977119,False,False,NA,False,NA,3,6,2,7,13593,17983,-4390,0,0,13868,18692
4040972149,True,True,NA,NA,Blue,12,3,16,2,20719,13956,6763,1,0,18952,15420
4040874680,False,False,False,NA,NA,7,11,5,7,15851,19068,-3217,0,0,17370,19829
4045498520,True,True,NA,NA,NA,13,6,16,4,18979,16784,2195,0,0,18049,17899
4044571105,True,True,True,NA,NA,13,6,11,5,20174,14929,5245,0,0,19697,15642
4044464408,True,True,False,True,NA,6,4,7,6,17534,15287,2247,0,0,19230,17401
4044378253,True,True,NA,NA,NA,20,1,23,2,22017,12831,9186,0,0,18876,12881
4044353324,False,False,True,NA,NA,2,3,2,2,15624,15768,-144,0,0,18604,18754
4037622387,True,True,False,True,Blue,7,4,5,4,18140,15451,2689,1,0,18422,17130
4034525578,False,False,False,False,NA,1,3,0,4,14448,16693,-2245,0,0,18121,19132
4034521376,False,False,False,NA,NA,3,9,4,7,15224,17977,-2753,0,0,17370,19353
4034375083,True,True,False,NA,NA,6,4,8,4,18159,14685,3474,0,0,18609,16995
4034391149,False,True,False,False,NA,3,2,1,2,15832,15028,804,0,0,18394,18115
4034355244,True,False,NA,NA,NA,7,5,7,3,17000,16771,229,0,0,18625,19364
4046314716,False,True,False,NA,NA,10,6,9,6,19356,15299,4057,0,0,18188,17209
4046227846,False,False,True,False,NA,7,8,6,5,16921,17950,-1029,0,0,17556,18295
4046214215,True,False,False,NA,NA,2,7,2,15,15524,15953,-429,0,0,17084,17241
4046109133,True,True,NA,False,NA,14,7,25,8,20443,16681,3762,0,0,18501,16996
4046100525,False,True,False,NA,NA,7,10,7,12,17356,17971,-615,0,0,17416,17854
4046085945,False,False,True,False,NA,4,13,6,12,15359,19473,-4114,0,0,15123,19101
4045607498,False,True,True,NA,NA,8,6,13,11,17298,17975,-677,0,0,17128,17942
4045602973,True,False,NA,NA,NA,7,9,6,11,16664,18355,-1691,0,0,16137,18691
4045572498,False,True,NA,True,NA,9,6,14,9,17766,16356,1410,0,0,17805,16583
4045507521,True,True,False,NA,NA,8,7,7,6,16776,16742,34,0,0,18015,17383
4045202025,False,False,False,NA,Blue,2,11,2,14,13120,20567,-7447,1,0,13439,18615
4045129008,False,False,False,NA,NA,8,5,11,4,17189,16124,1065,0,0,18522,18132
4044969628,True,True,False,NA,NA,9,8,6,8,17408,17278,130,0,0,17550,17272
4043919909,True,True,NA,True,NA,1,4,1,2,14470,15712,-1242,0,0,17440,17267
4042981829,False,True,True,False,NA,1,4,0,6,14133,17141,-3008,0,0,15728,19015
4041094281,True,False,False,NA,NA,13,6,17,5,18875,16251,2624,0,0,17584,17295
4041091032,True,True,True,NA,NA,5,8,6,13,14472,16604,-2132,0,0,15013,17122
4040874680,False,False,False,NA,NA,7,11,5,7,15851,19068,-3217,0,0,17370,19829
4040808106,True,True,NA,True,NA,10,9,17,9,18888,16675,2213,0,0,18829,17448
4038076134,True,False,False,False,NA,10,6,17,6,18741,16090,2651,0,0,18338,17368
4038071768,False,True,True,False,NA,7,7,7,7,16042,17149,-1107,0,0,17690,17411
4043268728,True,True,False,NA,NA,11,8,10,8,18894,17321,1573,0,0,20070,18587
4043275042,False,False,False,NA,NA,7,5,9,3,15770,16419,-649,0,0,16339,17732
